iter	Passed	Remaining
0	1	113
1	1	94
2	2	91
3	3	88
4	4	90
5	5	92
6	6	92
7	7	90
8	8	89
9	9	87
10	10	86
11	11	85
12	12	85
13	13	83
14	14	82
15	15	82
16	16	80
17	17	78
18	18	77
19	18	75
20	19	73
21	20	72
22	21	70
23	21	69
24	22	67
25	23	65
26	23	64
27	24	63
28	25	61
29	25	60
30	26	58
31	27	57
32	27	55
33	28	54
34	28	53
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	71	0
99	72	0
