iter	Passed	Remaining
0	123	122958
1	126	62909
2	128	42765
3	133	33127
4	135	26948
5	137	22838
6	139	19858
7	143	17785
8	145	15998
9	146	14536
10	150	13552
11	152	12535
12	153	11691
13	155	10936
14	156	10294
15	158	9722
16	159	9235
17	160	8781
18	162	8367
19	163	7990
20	164	7648
21	165	7365
22	166	7078
23	168	6843
24	169	6613
25	171	6425
26	172	6219
27	173	6029
28	174	5853
29	176	5702
30	177	5562
31	178	5414
32	180	5279
33	182	5172
34	183	5053
35	184	4934
36	185	4823
37	187	4743
38	188	4654
39	189	4556
40	190	4465
41	191	4372
42	192	4294
43	194	4218
44	195	4140
45	196	4065
46	196	3990
47	197	3918
48	198	3861
49	200	3803
50	201	3743
51	201	3681
52	202	3625
53	203	3569
54	205	3527
55	206	3482
56	207	3437
57	208	3390
58	209	3342
59	211	3306
60	212	3267
61	213	3226
62	214	3185
63	214	3143
64	215	3104
65	217	3072
66	218	3039
67	219	3005
68	220	2969
69	220	2933
70	221	2899
71	223	2884
72	224	2853
73	225	2823
74	226	2794
75	227	2764
76	229	2747
77	230	2723
78	231	2698
79	232	2673
80	233	2646
81	234	2622
82	235	2597
83	236	2576
84	237	2553
85	238	2532
86	239	2509
87	240	2487
88	241	2472
89	242	2451
90	243	2432
91	244	2412
92	245	2390
93	245	2370
94	247	2356
95	248	2341
96	249	2324
97	250	2304
98	251	2286
99	252	2269
100	253	2257
101	254	2243
102	256	2229
103	256	2212
104	257	2195
105	258	2181
106	259	2169
107	260	2154
108	261	2141
109	262	2125
110	263	2110
111	264	2096
112	266	2089
113	267	2077
114	268	2065
115	269	2051
116	269	2035
117	270	2022
118	272	2013
119	273	2006
120	274	1995
121	275	1982
122	276	1971
123	278	1964
124	279	1954
125	279	1942
126	280	1928
127	281	1916
128	282	1905
129	283	1899
130	284	1889
131	285	1879
132	286	1868
133	287	1857
134	288	1847
135	289	1840
136	290	1832
137	292	1824
138	293	1815
139	293	1805
140	295	1798
141	296	1789
142	297	1780
143	298	1772
144	298	1762
145	299	1753
146	301	1748
147	302	1741
148	303	1734
149	304	1725
150	305	1716
151	305	1707
152	307	1701
153	308	1695
154	309	1688
155	310	1681
156	311	1673
157	313	1670
158	314	1664
159	315	1657
160	316	1648
161	317	1641
162	318	1635
163	319	1630
164	321	1624
